,cause,effect,start,end,duration
3178,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9778,9794,17
3179,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9795,9796,2
3180,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9797,9798,2
3181,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9799,9803,5
3182,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9804,9814,11
3183,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9815,9815,1
3184,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9816,9820,5
3185,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9821,9821,1
3186,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9822,9826,5
3187,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9827,9834,8
3188,"TEMP_2, PRES_0, DEWP_1, RAIN_0, WSPM_1",PM2.5_3,9835,9836,2
3189,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9837,9839,3
3190,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9840,9840,1
3191,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,9841,9843,3
3192,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9844,9848,5
3193,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9849,9853,5
3194,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9854,9854,1
3195,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,9855,9855,1
3196,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,9856,9859,4
3197,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,9860,9861,2
3198,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,9862,9863,2
3199,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_0,9864,9864,1
3200,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,9865,9866,2
3201,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_0,9867,9869,3
3202,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,9870,9873,4
3203,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,9874,9874,1
3204,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,9875,9875,1
3205,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,9876,9882,7
3206,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_2,9883,9883,1
3207,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9884,9884,1
3208,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9885,9891,7
3209,"TEMP_2, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_3,9892,9893,2
3210,"TEMP_2, PRES_0, DEWP_0, RAIN_1, WSPM_0",PM2.5_3,9894,9894,1
3211,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9895,9895,1
3212,"TEMP_2, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_3,9896,9897,2
3213,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9898,9915,18
3214,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9916,9939,24
3215,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9940,9943,4
3216,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9944,9944,1
3217,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9945,9945,1
3218,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9946,9946,1
3219,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9947,9949,3
3220,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,9950,9952,3
3221,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9953,9953,1
3222,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,9954,9954,1
3223,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9955,9955,1
3224,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9956,9957,2
3225,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9958,9966,9
3226,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9967,9968,2
3227,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9969,9970,2
3228,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,9971,9975,5
3229,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,9976,9976,1
3230,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9977,9978,2
3231,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,9979,9979,1
3232,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9980,9980,1
3233,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9981,9983,3
3234,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9984,9989,6
3235,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9990,9990,1
3236,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,9991,9991,1
3237,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9992,9994,3
3238,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,9995,10001,7
3239,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10002,10006,5
3240,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10007,10008,2
3241,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,10009,10009,1
3242,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10010,10011,2
3243,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,10012,10012,1
3244,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10013,10013,1
3245,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10014,10015,2
3246,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10016,10016,1
3247,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10017,10017,1
3248,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10018,10020,3
3249,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10021,10024,4
3250,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10025,10027,3
3251,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10028,10029,2
3252,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10030,10031,2
3253,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10032,10044,13
3254,"TEMP_2, PRES_0, DEWP_1, RAIN_0, WSPM_1",PM2.5_3,10045,10045,1
3255,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10046,10050,5
3256,"TEMP_2, PRES_0, DEWP_1, RAIN_0, WSPM_1",PM2.5_3,10051,10051,1
3257,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10052,10053,2
3258,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10054,10056,3
3259,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10057,10086,30
3260,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10087,10090,4
3261,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10091,10097,7
3262,"TEMP_2, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_3,10098,10098,1
3263,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10099,10099,1
3264,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10100,10101,2
3265,"TEMP_2, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM2.5_3,10102,10103,2
3266,"TEMP_2, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM2.5_1,10104,10104,1
3267,"TEMP_2, PRES_1, DEWP_0, RAIN_1, WSPM_1",PM2.5_0,10105,10107,3
3268,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10108,10108,1
3269,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10109,10114,6
3270,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10115,10115,1
3271,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10116,10116,1
3272,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10117,10117,1
3273,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10118,10119,2
3274,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10120,10121,2
3275,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10122,10123,2
3276,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10124,10129,6
3277,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10130,10130,1
3278,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10131,10135,5
3279,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10136,10136,1
3280,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10137,10137,1
3281,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10138,10140,3
3282,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10141,10141,1
3283,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10142,10142,1
3284,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10143,10144,2
3285,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10145,10148,4
3286,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10149,10149,1
3287,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10150,10151,2
3288,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10152,10152,1
3289,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10153,10155,3
3290,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10156,10157,2
3291,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10158,10160,3
3292,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10161,10164,4
3293,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10165,10165,1
3294,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10166,10168,3
3295,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10169,10169,1
3296,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10170,10171,2
3297,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10172,10172,1
3298,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10173,10173,1
3299,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10174,10177,4
3300,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10178,10181,4
3301,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10182,10183,2
3302,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10184,10192,9
3303,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10193,10193,1
3304,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10194,10194,1
3305,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10195,10195,1
3306,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10196,10199,4
3307,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10200,10200,1
3308,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10201,10212,12
3309,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10213,10213,1
3310,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10214,10216,3
3311,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10217,10218,2
3312,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10219,10225,7
3313,"TEMP_2, PRES_0, DEWP_1, RAIN_0, WSPM_1",PM2.5_3,10226,10240,15
3314,"TEMP_2, PRES_0, DEWP_0, RAIN_1, WSPM_2",PM2.5_3,10241,10241,1
3315,"TEMP_2, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_3,10242,10242,1
3316,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10243,10243,1
3317,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_2,10244,10244,1
3318,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10245,10245,1
3319,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10246,10246,1
3320,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10247,10247,1
3321,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10248,10251,4
3322,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10252,10256,5
3323,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10257,10258,2
3324,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10259,10265,7
3325,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10266,10270,5
3326,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10271,10271,1
3327,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10272,10272,1
3328,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_0,10273,10273,1
3329,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10274,10277,4
3330,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10278,10278,1
3331,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10279,10279,1
3332,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10280,10282,3
3333,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_2,10283,10284,2
3334,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10285,10286,2
3335,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10287,10290,4
3336,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_2,10291,10291,1
3337,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_1,10292,10292,1
3338,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10293,10293,1
3339,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10294,10294,1
3340,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10295,10295,1
3341,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10296,10296,1
3342,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10297,10299,3
3343,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10300,10300,1
3344,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10301,10301,1
3345,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10302,10303,2
3346,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10304,10304,1
3347,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10305,10305,1
3348,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_3,10306,10306,1
3349,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10307,10308,2
3350,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_3,10309,10310,2
3351,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10311,10311,1
3352,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10312,10313,2
3353,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10314,10316,3
3354,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10317,10318,2
3355,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_0",PM2.5_0,10319,10319,1
3356,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10320,10322,3
3357,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10323,10323,1
3358,"TEMP_1, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10324,10325,2
3359,"TEMP_2, PRES_1, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10326,10331,6
3360,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10332,10342,11
3361,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10343,10344,2
3362,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10345,10347,3
3363,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10348,10349,2
3364,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10350,10350,1
3365,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10351,10355,5
3366,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10356,10358,3
3367,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10359,10359,1
3368,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10360,10373,14
3369,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_3,10374,10374,1
3370,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10375,10377,3
3371,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10378,10381,4
3372,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10382,10391,10
3373,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10392,10395,4
3374,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10396,10396,1
3375,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10397,10402,6
3376,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10403,10406,4
3377,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10407,10409,3
3378,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10410,10411,2
3379,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10412,10412,1
3380,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10413,10415,3
3381,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10416,10417,2
3382,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10418,10420,3
3383,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10421,10428,8
3384,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10429,10430,2
3385,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10431,10432,2
3386,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10433,10433,1
3387,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10434,10436,3
3388,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10437,10438,2
3389,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10439,10439,1
3390,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10440,10443,4
3391,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10444,10444,1
3392,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10445,10450,6
3393,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10451,10459,9
3394,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10460,10460,1
3395,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10461,10461,1
3396,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10462,10462,1
3397,"TEMP_2, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_1,10463,10463,1
3398,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_0,10464,10465,2
3399,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_1,10466,10468,3
3400,"TEMP_1, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_0,10469,10473,5
3401,"TEMP_2, PRES_0, DEWP_0, RAIN_1, WSPM_1",PM2.5_0,10474,10477,4
3402,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10478,10489,12
3403,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10490,10492,3
3404,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_1,10493,10493,1
3405,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10494,10494,1
3406,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10495,10495,1
3407,"TEMP_2, PRES_0, DEWP_1, RAIN_0, WSPM_1",PM2.5_3,10496,10496,1
3408,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10497,10497,1
3409,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10498,10504,7
3410,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10505,10506,2
3411,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10507,10509,3
3412,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_3,10510,10510,1
3413,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10511,10512,2
3414,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10513,10515,3
3415,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10516,10516,1
3416,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_0",PM2.5_2,10517,10517,1
3417,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10518,10518,1
3418,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10519,10526,8
3419,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_2,10527,10528,2
3420,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_1,10529,10529,1
3421,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10530,10532,3
3422,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10533,10533,1
3423,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10534,10534,1
3424,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10535,10536,2
3425,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10537,10538,2
3426,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10539,10540,2
3427,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_1,10541,10542,2
3428,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10543,10546,4
3429,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10547,10547,1
3430,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10548,10548,1
3431,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_2",PM2.5_0,10549,10549,1
3432,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10550,10550,1
3433,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_3,10551,10552,2
3434,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10553,10562,10
3435,"TEMP_1, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10563,10564,2
3436,"TEMP_2, PRES_0, DEWP_0, RAIN_0, WSPM_1",PM2.5_0,10565,10571,7
